subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,url,approve,disapprove,approve_adjusted,disapprove_adjusted,timestamp
Trump,4/1/2020,D,2/7/2020,2/9/2020,Morning Consult,B/C,817,a,.603806,0,"","",https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,37,37,34.49088,41.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/9/2020,2/11/2020,YouGov,B-,510,a,.4130127,0,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf,19,50,19.98075,50.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/16/2020,2/18/2020,YouGov,B-,529,a,.3617945,.0074101,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf,11,59,11.98075,59.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/23/2020,2/25/2020,YouGov,B-,525,a,.3186801,.0177067,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf,14,56,14.98075,56.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/24/2020,2/26/2020,Morning Consult,B/C,786,a,.2987443,.0171151,"","",https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf,29,49,26.49088,53.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/26/2020,2/28/2020,YouGov,B-,324,a,.1868366,.0133501,"","",https://projects.fivethirtyeight.com/polls/20200318_National_HPYouGov_coronavirus_2.pdf,18,70,18.98075,70.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/26/2020,2/28/2020,Harris Insights & Analytics,C+,925,rv,.6958394,.0531017,"","",https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_February2020_RegisteredVoters_Crosstabs.pdf,22,78,19.5367,77.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/28/2020,3/1/2020,Morning Consult,B/C,814,a,.2700658,.0243891,"","",https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,23,61,20.49088,65.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/1/2020,3/3/2020,YouGov,B-,622,a,.3381534,.0412678,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3rdraw493c/econTabReport.pdf,11,80,11.98075,80.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/2/2020,3/3/2020,Ipsos,B-,527,a,.5040936,.0681004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_coronavirus_03_03_2020.pdf,15,76,13.90772,77.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/3/2020,3/5/2020,Morning Consult,B/C,769,rv,.2303846,.0353002,"","",https://morningconsult.com/wp-content/uploads/2020/03/200311_crosstabs_CORONAVIRUS_RVs_v3_YW.pdf,15,72,12.49088,76.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/2/2020,3/8/2020,SurveyMonkey,D-,1053,a,.5366558,.116288,"","",https://www.surveymonkey.com/curiosity/nyt-march-2020-cci/,16,82,15.76756,80.20835,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/4/2020,3/7/2020,SSRS,A/B,411.74,a,.7596464,.1782807,"","","https://cdn.cnn.com/cnn/2020/images/03/09/rel2b.-.trump,.coronavirus.pdf",10,84,11.24233,82.25793,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/6/2020,3/8/2020,Global Strategy Group/GBA Strategies,"",420,rv,.4342144,.0925443,"","",https://navigatorresearch.org/wp-content/uploads/2020/03/March-2020-Navigator-Coronavirus-Toplines.pdf,12,80,12.88757,79.21515,14:11:26  1 Apr 2020
