subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,4/1/2020,D,20.88705,75.85204,13:08:18  1 Apr 2020
Trump,4/1/2020,I,46.43854,45.78411,13:08:19  1 Apr 2020
Trump,4/1/2020,R,86.00791,12.05781,13:08:20  1 Apr 2020
Trump,4/1/2020,all,49.78416,46.33559,13:08:21  1 Apr 2020
Trump,3/31/2020,D,20.88705,75.85204,12:38:32  1 Apr 2020
Trump,3/31/2020,R,86.00791,12.05781,12:39:57  1 Apr 2020
Trump,3/31/2020,all,49.78416,46.33559,12:40:50  1 Apr 2020
Trump,3/31/2020,I,46.43854,45.78411,12:39:12  1 Apr 2020
Trump,3/30/2020,all,49.71361,46.51931,12:40:50  1 Apr 2020
Trump,3/30/2020,R,85.88954,12.1173,12:39:58  1 Apr 2020
Trump,3/30/2020,D,20.78247,76.17156,12:38:32  1 Apr 2020
Trump,3/30/2020,I,46.16915,46.43361,12:39:12  1 Apr 2020
Trump,3/29/2020,I,46.80523,46.55625,12:39:12  1 Apr 2020
Trump,3/29/2020,all,50.11458,46.9473,12:40:51  1 Apr 2020
Trump,3/29/2020,D,21.64053,75.5337,12:38:33  1 Apr 2020
Trump,3/29/2020,R,85.39999,13.02094,12:39:58  1 Apr 2020
Trump,3/28/2020,R,85.46001,13.03923,12:39:59  1 Apr 2020
Trump,3/28/2020,all,50.22845,47.00508,12:40:51  1 Apr 2020
Trump,3/28/2020,I,46.72051,46.94693,12:39:13  1 Apr 2020
Trump,3/28/2020,D,21.72949,75.67949,12:38:33  1 Apr 2020
Trump,3/27/2020,I,46.72051,46.94693,12:39:13  1 Apr 2020
Trump,3/27/2020,D,21.72949,75.67949,12:38:33  1 Apr 2020
Trump,3/27/2020,all,50.64327,46.45758,12:40:52  1 Apr 2020
Trump,3/27/2020,R,85.46001,13.03923,12:39:59  1 Apr 2020
Trump,3/26/2020,all,50.76047,46.36187,12:40:52  1 Apr 2020
Trump,3/26/2020,I,46.71962,46.9086,12:39:13  1 Apr 2020
Trump,3/26/2020,R,85.87814,12.59947,12:39:59  1 Apr 2020
Trump,3/26/2020,D,21.60769,75.86668,12:38:34  1 Apr 2020
Trump,3/25/2020,I,47.54065,46.77607,12:39:14  1 Apr 2020
Trump,3/25/2020,D,22.06142,75.19205,12:38:34  1 Apr 2020
Trump,3/25/2020,R,86.19651,12.04853,12:40:00  1 Apr 2020
Trump,3/25/2020,all,51.20457,45.60869,12:40:52  1 Apr 2020
Trump,3/24/2020,R,85.71561,12.41045,12:40:00  1 Apr 2020
Trump,3/24/2020,all,50.76089,45.742,12:40:53  1 Apr 2020
Trump,3/24/2020,D,22.7661,74.25541,12:38:34  1 Apr 2020
Trump,3/24/2020,I,47.1629,46.44102,12:39:14  1 Apr 2020
Trump,3/23/2020,R,86.76012,10.41247,12:40:00  1 Apr 2020
Trump,3/23/2020,D,23.52542,72.44066,12:38:34  1 Apr 2020
Trump,3/23/2020,all,50.55001,45.02364,12:40:53  1 Apr 2020
Trump,3/23/2020,I,47.57716,46.56384,12:39:14  1 Apr 2020
Trump,3/22/2020,R,85.73162,10.85695,12:40:01  1 Apr 2020
Trump,3/22/2020,all,49.72366,45.17418,12:40:54  1 Apr 2020
Trump,3/22/2020,D,22.72276,72.358,12:38:35  1 Apr 2020
Trump,3/22/2020,I,45.78966,47.41016,12:39:14  1 Apr 2020
Trump,3/21/2020,D,20.65274,73.40829,12:38:35  1 Apr 2020
Trump,3/21/2020,all,48.23687,45.47047,12:40:54  1 Apr 2020
Trump,3/21/2020,R,85.32455,10.54693,12:40:01  1 Apr 2020
Trump,3/21/2020,I,45.32279,45.13767,12:39:15  1 Apr 2020
Trump,3/20/2020,all,48.23687,45.47047,12:40:54  1 Apr 2020
Trump,3/20/2020,D,20.65274,73.40829,12:38:35  1 Apr 2020
