subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,4/1/2020,D,70.90244,21.28099,3.617991,2.875012,14:11:26  1 Apr 2020
concern-infected,4/1/2020,D,38.90988,39.79656,15.46677,4.912749,14:11:27  1 Apr 2020
concern-economy,4/1/2020,I,62.60479,24.93628,5.717218,4.444792,14:11:28  1 Apr 2020
concern-infected,4/1/2020,I,28.25597,38.96761,22.21739,9.993887,14:11:28  1 Apr 2020
concern-economy,4/1/2020,R,64.56846,26.12498,4.649586,3.508975,14:11:29  1 Apr 2020
concern-infected,4/1/2020,R,21.7613,37.43287,28.10841,12.52166,14:11:29  1 Apr 2020
concern-economy,4/1/2020,all,59.38143,28.8615,7.82169,3.325747,14:11:30  1 Apr 2020
concern-infected,4/1/2020,all,31.61442,39.05884,20.3265,8.473351,14:11:30  1 Apr 2020
concern-economy,3/31/2020,R,64.56846,26.12498,4.649586,3.508975,12:40:12  1 Apr 2020
concern-economy,3/31/2020,I,62.60479,24.93628,5.717218,4.444792,12:39:24  1 Apr 2020
concern-infected,3/31/2020,I,28.25597,38.96761,22.21739,9.993887,12:39:40  1 Apr 2020
concern-infected,3/31/2020,R,21.7613,37.43287,28.10841,12.52166,12:40:30  1 Apr 2020
concern-infected,3/31/2020,all,31.61442,39.05884,20.3265,8.473351,12:41:27  1 Apr 2020
concern-economy,3/31/2020,all,59.38143,28.8615,7.82169,3.325747,12:41:06  1 Apr 2020
concern-infected,3/31/2020,D,38.90988,39.79656,15.46677,4.912749,12:38:57  1 Apr 2020
concern-economy,3/31/2020,D,70.90244,21.28099,3.617991,2.875012,12:38:42  1 Apr 2020
concern-infected,3/30/2020,D,39.89142,39.20831,14.85153,4.917483,12:38:57  1 Apr 2020
concern-infected,3/30/2020,R,21.94641,37.95141,27.23952,12.59563,12:40:31  1 Apr 2020
concern-infected,3/30/2020,I,28.89974,38.94538,21.35383,10.21711,12:39:40  1 Apr 2020
concern-infected,3/30/2020,all,32.13136,39.13395,19.7516,8.463586,12:41:27  1 Apr 2020
concern-economy,3/30/2020,all,59.38143,28.8615,7.82169,3.325747,12:41:06  1 Apr 2020
concern-economy,3/30/2020,R,64.56846,26.12498,4.649586,3.508975,12:40:12  1 Apr 2020
concern-economy,3/30/2020,I,62.60479,24.93628,5.717218,4.444792,12:39:24  1 Apr 2020
concern-economy,3/30/2020,D,70.90244,21.28099,3.617991,2.875012,12:38:43  1 Apr 2020
concern-economy,3/29/2020,I,62.60479,24.93628,5.717218,4.444792,12:39:25  1 Apr 2020
concern-infected,3/29/2020,D,41.59763,38.1275,14.57332,4.828743,12:38:57  1 Apr 2020
concern-infected,3/29/2020,R,24.5323,38.90115,24.97682,11.10153,12:40:31  1 Apr 2020
concern-economy,3/29/2020,all,59.38143,28.8615,7.82169,3.325747,12:41:07  1 Apr 2020
concern-infected,3/29/2020,I,31.10797,38.10926,19.83021,10.34192,12:39:41  1 Apr 2020
concern-economy,3/29/2020,D,70.90244,21.28099,3.617991,2.875012,12:38:43  1 Apr 2020
concern-economy,3/29/2020,R,64.56846,26.12498,4.649586,3.508975,12:40:13  1 Apr 2020
concern-infected,3/29/2020,all,33.79937,38.90672,18.76807,8.156512,12:41:28  1 Apr 2020
concern-infected,3/28/2020,I,31.10797,38.10926,19.83021,10.34192,12:39:41  1 Apr 2020
