subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,4/28/2020,all,30.781942,38.757897,20.473387,9.4600028,15:50:08 28 Apr 2020
concern-economy,4/28/2020,all,56.797742,30.084297,8.8643205,2.9713826,15:50:07 28 Apr 2020
concern-infected,4/27/2020,all,32.335759,38.559291,19.797426,8.7038327,17:45:09 27 Apr 2020
concern-economy,4/27/2020,all,55.613904,31.016987,9.3650708,2.8446749,17:45:08 27 Apr 2020
concern-infected,4/26/2020,all,32.60568,37.815997,19.994388,8.8993825,08:05:12 27 Apr 2020
concern-economy,4/26/2020,all,54.695862,31.78422,9.7966249,2.9533676,08:05:11 27 Apr 2020
concern-infected,4/25/2020,all,32.60568,37.815997,19.994388,8.8993825,07:55:09 25 Apr 2020
concern-economy,4/25/2020,all,54.695862,31.78422,9.7966249,2.9533676,07:55:08 25 Apr 2020
concern-infected,4/24/2020,all,32.596807,37.829933,19.929268,8.9389042,14:10:09 24 Apr 2020
concern-economy,4/24/2020,all,55.093169,31.514864,9.7099321,2.9704835,14:10:08 24 Apr 2020
concern-infected,4/23/2020,all,32.345584,37.734254,20.04996,9.076144,15:25:08 23 Apr 2020
concern-economy,4/23/2020,all,55.19769,31.277705,9.7230732,3.00445,15:25:07 23 Apr 2020
concern-infected,4/22/2020,all,32.202039,37.661474,20.192229,9.0835493,15:55:08 22 Apr 2020
concern-economy,4/22/2020,all,55.376078,31.108016,9.6973004,3.0193589,15:55:08 22 Apr 2020
concern-infected,4/21/2020,all,31.901182,37.634756,20.23673,9.2376939,21:40:09 21 Apr 2020
concern-economy,4/21/2020,all,56.888707,30.586927,8.6787873,2.9738719,21:40:08 21 Apr 2020
concern-infected,4/20/2020,all,34.073216,37.892804,18.89104,7.9452866,19:15:09 20 Apr 2020
concern-economy,4/20/2020,all,57.850277,29.622583,8.66464,2.8720653,19:15:08 20 Apr 2020
concern-infected,4/19/2020,all,33.833518,38.092426,19.079587,7.8919244,09:05:08 19 Apr 2020
concern-economy,4/19/2020,all,57.043192,29.922808,8.8579152,2.9740339,09:05:08 19 Apr 2020
